"","p_t","p_perm","slope"
"246",3.74486409808116e-72,0,1.97842538201323
"247",1.99307284583296e-74,0,2.03745870939407
"248",3.78447808959953e-75,0,2.01713860925447
"249",5.25614305429613e-71,0,2.05402383177995
"250",1.05378967945898e-70,0,1.93163423559303
"251",3.25750465431229e-77,0,1.9900048605213
"252",6.02649896429331e-65,0,1.95570994436238
"253",1.0641340722544e-71,0,1.9655967164604
"254",6.32897594354882e-74,0,1.95053882173613
"255",2.58205876253435e-70,0,1.97714120976766
"256",1.34717500043718e-73,0,1.97101737123431
"257",1.26611202756609e-72,0,2.03210828301603
"258",8.40764830704783e-72,0,2.05777765148283
"259",4.04249146334682e-75,0,2.00698899336331
"260",4.51303426606209e-75,0,1.88782764676923
"261",1.28254559209246e-76,0,2.0544758608114
"262",6.70582960487579e-73,0,1.97124798144958
"263",1.59412516989365e-76,0,1.95678324024435
"264",8.59649520206544e-72,0,1.98080444452651
"265",8.43648617244031e-68,0,2.00164640894865
"266",2.96949029135237e-69,0,1.99213510816074
"267",8.5514048619023e-72,0,1.94873190864556
"268",7.25750033464674e-75,0,2.02152065422608
"269",3.84186635877217e-72,0,1.94852440954117
"270",7.16605930090459e-69,0,1.99182839848518
"271",1.24162580316553e-78,0,1.98943801413196
"272",7.29288840436526e-77,0,1.99879286552291
"273",1.17643474282179e-70,0,1.964014135329
"274",3.37398105058909e-73,0,1.92046216824875
"275",3.27116567900994e-74,0,1.9929077326072
"276",2.10475288843016e-73,0,2.03792168670376
"277",4.30685200416386e-70,0,2.06515121017169
"278",3.41765359897946e-68,0,1.97826339022401
"279",1.27255755685043e-74,0,2.02028104473594
"280",4.23206094414365e-69,0,2.04732199948254
"281",4.50384533390957e-71,0,1.99059318095087
"282",3.58399724832143e-68,0,2.00597254063885
"283",2.97420674854659e-75,0,2.09196537800499
"284",6.18684002666514e-72,0,2.02465690708231
"285",8.74941773735449e-68,0,1.96799915877612
"286",3.444042830577e-69,0,1.98201042680086
"287",3.74615560335929e-73,0,1.98086583877508
"288",5.3689466210413e-77,0,1.98497469603281
"289",3.50916358293672e-71,0,1.99319397854982
"290",1.15331728130444e-70,0,2.01897976154049
"291",5.29073036293357e-76,0,2.07853302359817
"292",3.6364568439299e-75,0,1.99989659768678
"293",3.8741261409353e-72,0,1.96423899237807
"294",5.08188076951889e-73,0,1.95426016382231
"295",1.44348675597835e-73,0,1.98392102647012
"296",3.80425560169861e-79,0,2.05502924805761
"297",1.95576059366194e-71,0,1.96774340097313
"298",4.00608298202206e-69,0,2.02255049449163
"299",3.55197554378556e-74,0,2.06702712148877
"300",2.32144217468119e-75,0,2.01570948022656
"301",1.53585326275024e-71,0,2.03024975621555
"302",5.18261529692025e-73,0,2.07994497374569
"303",2.73817481125797e-76,0,2.01007958980738
"304",3.31887234995418e-78,0,1.9543634237313
"305",3.92288801856731e-74,0,2.00931325277157
"306",1.13286999434956e-73,0,1.94554658639079
"307",5.28954531721285e-75,0,2.01193078587662
"308",2.24467999355106e-73,0,2.01882125175274
"309",2.2885140594662e-73,0,2.00823498690558
"310",7.38818684045025e-74,0,1.93291078417494
"311",1.65412233875199e-71,0,2.00520136734039
"312",2.08760965684721e-71,0,1.93023785124113
"313",8.2445690933401e-73,0,1.98806344759776
"314",2.01027904301154e-73,0,2.0030783174609
"315",2.36802160177466e-79,0,1.97249341145705
"316",1.28810720324932e-73,0,1.99509061965511
"317",2.40291905570088e-70,0,1.97016468575112
"318",1.86558423919148e-70,0,2.04213107455812
"319",1.05483443614387e-72,0,1.96902430433197
"320",1.95879191490569e-74,0,1.98679249536249
"321",2.26806473547216e-81,0,1.98915835118425
"322",9.08420696273544e-73,0,2.02453143287035
"323",1.603541191807e-63,0,1.9567095193288
"324",1.16289254279175e-76,0,1.9475309790283
"325",5.39011495724891e-72,0,1.96080190228021
"326",4.39382251722503e-80,0,2.01754359269291
"327",2.57646246308734e-71,0,1.96809931864699
"328",4.31676905774181e-77,0,1.98240735962371
"329",2.83884848725579e-79,0,2.05225553130889
"330",1.72681065123355e-73,0,2.06315032402489
"331",2.48942506374831e-72,0,1.99111216319669
"332",4.50629458701409e-73,0,1.95919295525267
"333",2.84035669514928e-71,0,2.03648908676351
"334",6.45336444465809e-73,0,2.08402633732658
"335",8.6123230305454e-72,0,2.00254639441224
"336",1.47340365044161e-76,0,1.93542965500897
"337",1.03014723309768e-81,0,2.03929691204868
"338",1.38212115103697e-79,0,1.96560121574188
"339",9.01664808662237e-79,0,2.01719340247401
"340",1.29766961737525e-71,0,1.9439349829426
"341",1.16687077389115e-72,0,2.0410510801627
"342",4.46952595555824e-70,0,1.99148088142948
"343",5.0074521693219e-71,0,2.05551475944837
"344",1.57387563086823e-78,0,2.04466971818795
"345",1.40893333558325e-74,0,2.00546539726799
"346",1.03825804245637e-70,0,1.98158658895586
"347",2.0701465211677e-78,0,2.01327825571787
"348",1.19536512816701e-76,0,2.01619268966624
"349",1.15041322339837e-73,0,2.01344210354552
"350",5.99843765877243e-76,0,2.01268331729398
"351",1.0002573098006e-72,0,1.98009184823533
"352",4.96049414459242e-79,0,2.00688439760243
"353",3.79484719679281e-69,0,2.02445241809469
"354",3.61766275865797e-78,0,1.97320375410285
"355",1.42262447307172e-75,0,2.02104417494923
"356",8.1603682958568e-70,0,1.99046344399414
"357",1.61569546859641e-73,0,2.0532692887556
"358",4.63848560718213e-67,0,1.95361633035603
"359",1.65236225693402e-72,0,1.99125324565368
"360",3.45662524344562e-80,0,2.04538294363332
"361",6.56058075832538e-73,0,2.03635478822746
"362",1.79234545289588e-82,0,2.09376965349736
"363",1.57120641737259e-70,0,1.96156794740437
"364",9.78487272060613e-69,0,1.93619656391361
"365",5.96577431570208e-74,0,2.00673864232458
"366",2.82556297164925e-73,0,2.0247719850595
"367",4.46609358662342e-74,0,1.99369894800148
"368",2.50577628934775e-78,0,1.98608711655185
"369",1.7640528381205e-65,0,2.04665250122193
"370",6.24483942052851e-79,0,2.06466552428976
"371",1.51090182297138e-71,0,1.98521785278218
"372",6.39524494376576e-71,0,1.9369848172938
"373",2.19304011585186e-78,0,2.05152673361978
"374",4.10132086991031e-74,0,2.04334991238739
"375",5.30215989711946e-73,0,1.97711807581395
"376",7.59037117733937e-72,0,2.02593317016144
"377",1.68929991380198e-73,0,2.02529328280426
"378",6.69197454753379e-77,0,2.00654786199853
"379",4.98359447700523e-60,0,2.01021612485504
"380",1.18711792487622e-75,0,2.01322044414815
"381",1.60525666777268e-71,0,1.99381954867019
"382",2.72315112761162e-70,0,1.96446804365065
"383",1.59931012273995e-67,0,2.01247569642968
"384",2.27245795718275e-76,0,2.01919097975377
"385",6.45973347457397e-71,0,2.06906879905111
"386",5.93707116884111e-68,0,1.97728953414572
"387",9.82217676828978e-71,0,1.96974730983442
"388",1.34904674524617e-69,0,1.95500273817536
"389",1.19130536426986e-71,0,2.07149190393609
"390",5.7236814376382e-68,0,2.04561435200837
"391",5.29907218333259e-78,0,2.09846427992146
"392",1.87019694107545e-66,0,1.98320677482667
"393",4.0602914172569e-74,0,1.96254839404976
"394",4.04837552303202e-72,0,1.96107918892992
"395",2.02950962505347e-70,0,1.97573611483398
"396",1.05974207026242e-71,0,1.98380117094006
"397",2.22500243201455e-68,0,2.03838233921541
"398",6.28679542955258e-72,0,2.05494606535968
"399",3.38552761201255e-84,0,2.0131269507752
"400",1.30536888239906e-73,0,1.97696906290064
"401",7.27152700204233e-76,0,2.04325412466043
"402",6.66760659033376e-78,0,1.99078168889567
"403",5.71538198197054e-74,0,1.97879793074605
"404",6.10377951925447e-70,0,2.02475472253507
"405",2.0708175695818e-72,0,1.98787145637511
"406",8.05644543585656e-78,0,2.00640926026701
"407",1.45581579357367e-70,0,2.01860872396806
"408",6.46456354502313e-72,0,1.95139358350375
"409",2.14152788441766e-71,0,2.0052632091255
"410",1.14992499765458e-73,0,2.0055807699805
"411",1.00869569248457e-72,0,2.00447587565884
"412",4.41298248905811e-72,0,1.97705618332016
"413",4.74619479227403e-78,0,2.01947337462712
"414",1.23980824463819e-71,0,1.9916908621933
