,ticker,Pct_Change_Dec2007_June_2009,Pct_Change_Dec2009_June_2011
242,AMD,-33.6088151555921,17.721515167143544
244,AME,-19.882111715130314,82.6192974986332
245,AMED,-21.66783859817868,-17.335476897865266
247,AMG,-47.62975630221985,60.85301639309733
248,AMGN,13.434431773870218,8.466569349379448
252,AMKR,-38.26087363436504,10.178574667293299
254,AMN,-52.67639928787674,6.93928675085157
255,AMNB,10.984460741130508,-8.279301299641705
256,AMOT,-48.259859659409834,197.3094196293111
257,AMOV,-34.022015939297816,16.193360574554642
258,AMP,-42.55200553952988,57.68511606275114
265,AMRN,-22.173913088547685,1730.392198569958
268,AMSC,22.495823256864707,-73.14319670627759
269,AMSF,24.757279306074942,35.050327354791214
270,AMSWA,-16.36363721242461,41.326534997981504
271,AMT,-20.562129857519786,38.47721017116577
272,AMTD,4.175697007128375,12.144415918847997
274,AMWD,34.84187206370729,1.540918810998469
275,AMX,-34.02566887964637,15.572720511722421
276,AMZN,2.0156072359690484,59.87022096672836
277,AN,21.22228892462555,107.42210425838006
279,ANAT,-28.80188236083071,-26.209414631203643
281,ANCX,11.265166334767764,28.15699757293164
282,ANDE,-22.371028849287754,63.506181259746974
283,ANDV,-61.183773017144006,91.57211586168987
286,ANF,-59.53336950883619,113.05219547532681
289,ANGO,-19.673082877921093,0.7797263345160627
290,ANH,0.9803945794164955,6.9800605311491655
291,ANIK,-61.13475268925994,-7.940450496318774
292,ANIP,-27.24719475695812,134.58646029484206
293,ANSS,-10.180935949345669,42.24598920091952
295,ANTM,-38.38323261923413,48.04782702638597
296,ANW,-52.66943322781613,-67.97971827775635
298,AOBC,5.419587954326001,-13.333332518227003
299,AOD,-52.40641553658423,-30.12457384366169
300,AOI,37.626267929318644,-12.415350100951716
301,AON,-20.72430695208404,37.53329730676695
302,AOS,-2.3476968594299326,49.294111604261225
304,AP,-17.4673816244725,-14.739781477665638
305,APA,-10.416666666666668,32.90607955279409
307,APB,-63.40081100152486,23.74246187101544
308,APC,-9.740953901725922,33.32757007404539
309,APD,-30.214586086687135,19.07312731299231
310,APDN,89.99999364217167,19.999996821085674
311,APEI,1.4102544540012747,45.600257657409074
312,APEN,-33.95348567741395,61.76471194341464
313,APF,-33.2642454736045,26.36428318599218
314,APH,-18.89454594473617,29.503486344270858
318,APOG,-16.579408335812158,-7.3752676046007295
322,APPS,-75.0,37.142862592424564
323,APRI,-63.35877888529111,75.33334096272802
329,APU,-3.2772913105675388,20.3183015713415
331,APWC,-56.956520432109784,150.6976570884506
340,ARA,-26.78571523604353,170.2381014046766
341,ARAY,-44.016794812064994,57.98816484570367
342,ARC,-33.79175275966026,61.261252282589496
343,ARCB,39.5994585109117,-3.8882177847548687
344,ARCC,-42.09059094975714,48.135301988465045
346,ARCI,-75.6066413124897,132.3529343016551
352,ARDM,-76.22377587400089,57.14286322496375
354,ARE,-58.872034871993876,40.1509886133695
356,AREX,-27.18446399682575,311.81102379943127
361,ARII,-43.70946652250625,131.26232711009075
362,ARKR,-58.88532254339122,23.636363636363637
363,ARL,39.289949389801066,-58.19430417757094
364,ARLP,15.382388980204206,100.12918713534309
365,ARLZ,-20.732879867475255,-10.301952254287942
367,ARNA,-30.934339809777562,-58.43023384758544
368,ARNC,-64.14319066558441,27.058824468522385
369,AROC,-72.09210646779908,2.1558086102258995
370,AROW,30.352941845438757,2.0822153377196653
371,ARQL,11.423551649047821,97.36841664970288
372,ARR,8.797338037843751,7.02478975160065
373,ARRS,31.34635492525278,14.723318062920928
374,ARRY,-58.04455276096982,47.97687367371016
375,ARTNA,-12.785144820374795,17.464116006043458
376,ARTW,-51.25418139539312,139.22078613729056
377,ARTX,-11.111112449038043,67.40740374446084
378,ARW,-32.01742547085748,62.04683001965131
379,ARWR,-84.17910390825415,11.999998092651403
380,ASA,5.043733196182497,25.304742827840563
381,ASB,-45.15642738728241,34.68992276716425
385,ASFI,-76.71179925690879,25.7396407130887
386,ASG,-47.416976669466706,40.063089916744346
387,ASGN,-30.84577228519725,65.58140497670173
388,ASH,-35.711178179595144,84.35522317056127
392,ASML,-30.929792621987183,21.74322778717622
393,ASNA,33.279746647669874,64.81303960774771
